dataset_id,modality,.set,.edf,.bdf,.vhdr
ds004229,meg,0,0,0,0
ds004398,meg,0,0,0,0
ds000246,meg,0,0,0,0
ds004276,meg,0,0,0,0
ds006035,meg,0,0,0,0
ds002885,meg,0,0,0,0
ds004738,meg,0,0,0,0
ds003392,meg,0,0,0,0
ds003082,meg,0,0,0,0
ds006629,meg,0,0,0,0
ds002312,meg,0,37,0,0
ds004107,meg,0,0,0,0
ds003694,meg,0,0,0,0
ds003352,meg,0,0,0,0
ds003483,meg,0,0,0,0
ds005241,meg,0,0,0,0
ds000247,meg,0,0,0,0
ds003922,meg,0,0,0,0
ds004837,meg,0,0,0,0
ds006012,meg,0,0,0,0
ds002712,meg,0,0,0,0
ds004998,meg,0,0,0,0
ds004012,meg,0,0,0,0
ds006720,meg,0,0,0,0
ds004330,meg,0,0,0,0
ds005356,meg,0,0,0,0
ds002908,meg,0,0,0,0
ds004346,meg,0,0,0,0
ds004483,meg,0,0,0,0
ds003703,meg,0,0,0,0
ds004278,meg,0,0,0,0
ds003104,meg,0,0,0,0
ds005346,meg,0,0,0,0
ds006334,meg,0,28,0,0
ds002001,meg,0,0,0,0
ds006468,meg,0,0,0,0
ds000248,meg,0,0,0,0
ds005279,meg,0,0,0,0
ds000117,meg,0,0,0,0
ds002761,meg,0,0,0,0
ds005065,meg,0,0,0,0
ds003682,meg,0,0,0,0
ds003568,meg,0,0,0,0
ds006502,meg,0,0,0,0
ds004011,meg,0,22,0,0
ds003633,meg,0,0,0,0
ds002550,meg,0,0,0,0
ds004078,meg,0,0,0,0
ds004212,meg,0,0,0,0
ds005752,meg,0,0,0,0
ds005261,meg,0,0,0,0
ds005810,meg,0,0,0,0
ds002578,eeg,2,0,0,0
ds001785,eeg,72,0,0,0
ds003195,eeg,0,20,0,0
ds002691,eeg,20,0,0,0
ds002218,eeg,18,0,0,0
ds003194,eeg,0,29,0,0
ds003039,eeg,16,0,0,0
ds002723,eeg,0,44,0,0
ds003805,eeg,1,0,0,0
ds003061,eeg,39,0,0,0
ds003810,eeg,0,50,0,0
ds003343,eeg,0,0,59,0
ds003004,eeg,34,0,0,0
ds003458,eeg,23,0,0,0
ds002778,eeg,0,0,46,0
ds001787,eeg,0,0,40,0
ds003801,eeg,20,0,0,0
ds003574,eeg,0,18,0,0
ds003570,eeg,40,0,0,0
ds003800,eeg,24,0,0,0
ds003751,eeg,38,0,0,0
ds003519,eeg,54,0,0,0
ds002893,eeg,52,0,0,0
ds004010,eeg,24,0,0,0
ds003710,eeg,0,0,0,48
ds002034,eeg,0,167,0,0
ds003516,eeg,46,0,0,0
ds002720,eeg,0,165,0,0
ds002721,eeg,0,185,0,0
ds001849,eeg,120,0,0,0
ds003490,eeg,75,0,0,0
ds002833,eeg,0,0,0,80
ds002791,eeg,0,0,0,92
ds004022,eeg,21,0,0,0
ds003947,eeg,0,0,0,61
ds004015,eeg,36,0,0,0
ds004040,eeg,26,0,0,0
ds002094,eeg,0,0,0,43
ds004019,eeg,62,0,0,0
ds002722,eeg,0,94,0,0
ds003626,eeg,0,0,30,0
ds003944,eeg,0,0,0,82
ds003739,eeg,120,0,0,0
ds003822,eeg,25,0,0,0
ds004033,eeg,36,0,0,0
ds003846,eeg,0,0,0,60
ds004105,eeg,34,0,0,0
ds004106,eeg,29,0,0,0
ds003517,eeg,34,0,0,0
ds004119,eeg,22,0,0,0
ds002181,eeg,226,0,0,0
ds004252,eeg,0,0,0,1
ds004000,eeg,0,0,0,86
ds004147,eeg,0,0,0,12
ds003474,eeg,122,0,0,0
ds004123,eeg,30,0,0,0
ds004121,eeg,60,0,0,0
ds003655,eeg,156,0,0,0
ds004196,eeg,0,0,4,0
ds002724,eeg,0,96,0,0
ds004122,eeg,63,0,0,0
ds003774,eeg,240,0,0,0
ds004152,eeg,0,0,0,21
ds004151,eeg,57,0,0,0
ds004043,eeg,20,0,0,20
ds004200,eeg,20,0,0,0
ds002725,eeg,0,105,0,0
ds003825,eeg,50,0,0,50
ds002336,eeg,0,0,0,107
ds003555,eeg,0,257,0,0
ds003775,eeg,153,153,0,0
ds004324,eeg,0,26,0,0
ds004262,eeg,0,0,0,21
ds003506,eeg,84,0,0,0
ds004264,eeg,0,0,0,21
ds002718,eeg,18,0,0,0
ds003420,eeg,0,0,0,92
ds004284,eeg,0,0,0,18
ds004017,eeg,0,0,63,63
ds004117,eeg,85,0,0,0
ds003478,eeg,243,0,0,0
ds004279,eeg,0,60,0,0
ds003753,eeg,25,0,0,0
ds004067,eeg,0,0,0,84
ds003969,eeg,0,0,392,0
ds003702,eeg,0,0,0,47
ds004295,eeg,26,0,0,0
ds004477,eeg,0,0,9,0
ds004367,eeg,40,0,0,0
ds004075,eeg,0,0,0,116
ds004018,eeg,0,0,0,32
ds003690,eeg,375,0,0,0
ds004357,eeg,0,0,0,16
ds004256,eeg,0,0,0,53
ds003522,eeg,200,0,0,0
ds004368,eeg,40,0,0,0
ds004317,eeg,50,0,0,0
ds004347,eeg,24,0,24,0
ds004120,eeg,131,0,0,0
ds003518,eeg,137,0,0,0
ds003987,eeg,69,0,0,0
ds004554,eeg,16,0,0,0
ds004369,eeg,41,0,0,0
ds004517,eeg,0,0,7,0
ds001971,eeg,273,0,0,0
ds004514,eeg,0,0,12,0
ds004348,eeg,18,18,0,0
ds003838,eeg,296,0,0,0
ds004520,eeg,33,0,0,0
ds003421,eeg,0,0,0,80
ds004521,eeg,34,0,0,0
ds004519,eeg,40,0,0,0
ds004315,eeg,50,0,0,0
ds004598,eeg,0,20,0,0
ds003638,eeg,0,0,57,0
ds004502,eeg,10,0,0,38
ds002338,eeg,0,0,0,169
ds004475,eeg,30,0,0,0
ds004745,eeg,6,0,0,0
ds004661,eeg,17,0,0,0
ds003670,eeg,62,0,0,0
ds003887,eeg,24,0,0,24
ds003885,eeg,24,0,0,24
ds004118,eeg,247,0,0,0
ds004460,eeg,0,0,0,40
ds002158,eeg,20,0,0,119
ds004785,eeg,17,0,0,0
ds004561,eeg,0,0,0,23
ds004660,eeg,42,0,0,0
ds003620,eeg,250,0,0,116
ds003523,eeg,221,0,0,0
ds004626,eeg,52,0,0,0
ds004849,eeg,1,0,0,0
ds004850,eeg,1,0,0,0
ds004851,eeg,1,0,0,0
ds004852,eeg,1,0,0,0
ds004853,eeg,1,0,0,0
ds004854,eeg,1,0,0,0
ds004855,eeg,1,0,0,0
ds004504,eeg,176,0,0,0
ds003645,eeg,108,0,0,0
ds004166,eeg,213,0,0,0
ds004940,eeg,0,0,0,0
ds004635,eeg,110,0,0,0
ds004588,eeg,84,0,0,0
ds004511,eeg,0,134,0,0
ds004840,eeg,0,51,0,0
ds004860,eeg,0,0,31,0
ds004603,eeg,0,0,0,37
ds004771,eeg,61,0,0,0
ds003766,eeg,248,0,0,0
ds004446,eeg,0,237,0,0
ds004816,eeg,20,0,0,20
ds005087,eeg,0,0,0,0
ds004595,eeg,53,0,0,0
ds004817,eeg,20,0,0,20
ds004980,eeg,0,0,0,17
ds004306,eeg,15,0,0,0
ds004752,eeg,0,136,0,0
ds004951,eeg,0,0,0,23
ds004448,eeg,0,280,0,0
ds004584,eeg,149,0,0,0
ds004577,eeg,0,130,0,0
ds004579,eeg,139,0,0,0
ds004995,eeg,0,0,0,20
ds004844,eeg,68,0,0,0
ds005079,eeg,60,0,0,0
ds004356,eeg,0,0,0,24
ds004657,eeg,119,0,0,0
ds004843,eeg,92,0,0,0
ds005048,eeg,35,0,0,0
ds005089,eeg,36,0,0,0
ds004582,eeg,0,0,0,73
ds004842,eeg,102,0,0,0
ds004350,eeg,241,0,246,0
ds004942,eeg,62,0,0,0
ds005293,eeg,0,0,0,0
ds004574,eeg,146,0,0,0
ds004784,eeg,64,0,0,0
ds004580,eeg,147,0,0,0
ds005034,eeg,100,0,0,0
ds003509,eeg,84,0,0,0
ds004841,eeg,147,0,0,0
ds005121,eeg,0,0,0,39
ds005274,eeg,0,0,0,22
ds004381,eeg,0,770,0,0
ds005021,eeg,36,0,43,0
ds005028,eeg,0,105,0,0
ds003190,eeg,0,0,0,384
ds005342,eeg,32,0,0,0
ds005095,eeg,0,0,0,48
ds004532,eeg,137,0,0,2
ds005273,eeg,0,0,0,33
ds004389,eeg,260,0,0,0
ds005189,eeg,0,30,0,30
ds004802,eeg,0,116,41,0
ds003768,eeg,0,0,0,255
ds004447,eeg,0,418,0,0
ds005296,eeg,62,0,0,0
ds005343,eeg,86,0,0,0
ds005131,eeg,0,0,0,63
ds005416,eeg,23,0,0,0
ds004444,eeg,0,465,0,0
ds004706,eeg,0,0,298,0
ds005406,eeg,0,0,0,29
ds004563,eeg,73,0,119,0
ds005284,eeg,78,0,26,0
ds004515,eeg,54,0,0,0
ds005420,eeg,0,72,0,0
ds004587,eeg,0,0,0,114
ds005397,eeg,0,0,0,26
ds005410,eeg,81,0,0,0
ds005363,eeg,0,0,0,43
ds005286,eeg,90,0,0,30
ds005307,eeg,0,0,0,73
ds004917,eeg,0,0,0,24
ds004902,eeg,218,0,0,0
ds005565,eeg,24,0,0,0
ds005594,eeg,0,0,0,16
ds005586,eeg,0,0,0,23
ds005207,eeg,57,55,19,0
ds005672,eeg,3,0,0,0
ds005106,eeg,42,0,0,0
ds005285,eeg,203,0,0,0
ds005642,eeg,21,0,22,0
ds003602,eeg,699,0,0,0
ds005429,eeg,0,0,0,61
ds005530,eeg,0,0,0,21
ds004388,eeg,399,0,0,0
ds005473,eeg,87,0,0,58
ds004718,eeg,102,0,0,0
ds004621,eeg,0,0,0,167
ds005262,eeg,0,0,0,186
ds005872,eeg,0,1,0,0
ds005692,eeg,0,0,0,59
ds005662,eeg,0,0,80,0
ds005520,eeg,71,0,0,69
ds005114,eeg,223,0,0,0
ds005571,eeg,0,0,0,45
ds005291,eeg,195,0,0,65
ds005345,eeg,0,0,0,26
ds005178,eeg,140,20,0,0
ds005688,eeg,0,0,0,89
ds005403,eeg,0,0,0,34
ds005555,eeg,0,256,0,0
ds006033,eeg,0,0,0,5
ds005868,eeg,48,0,0,0
ds005866,eeg,60,0,0,0
ds005907,eeg,53,0,0,0
ds005932,eeg,29,0,0,0
ds005960,eeg,41,0,0,0
